lambda_logic,rule_agreement_mean,rule_agreement_std,rule_compliance_mean,rule_compliance_std
0.0,0.763665,0.096634,0.579288,0.042367
0.1,0.769923,0.087355,0.587465,0.042878
0.2,0.774229,0.090322,0.601898,0.047932
0.3,0.781491,0.088804,0.611155,0.063758
0.4,0.777828,0.083161,0.624482,0.058746
0.5,0.798673,0.107303,0.641748,0.092499
0.6,0.796061,0.089479,0.656405,0.087391
0.7,0.801363,0.083950,0.663803,0.093935
0.8,0.810574,0.110001,0.693186,0.138953
0.9,0.767167,0.151044,0.697538,0.139071
1.0,0.759425,0.135685,0.700583,0.141111
