2026-05-25 11:34:14,445 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | ================================================================================
2026-05-25 11:34:14,445 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Starting run: eeg_neurosymbolic_lambda_0.3_seed_42
2026-05-25 11:34:14,446 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Lambda logic: 0.3000
2026-05-25 11:34:14,446 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | ================================================================================
2026-05-25 11:34:14,447 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Random seed fixed to 42
2026-05-25 11:34:14,447 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Using device: cpu
2026-05-25 11:34:14,447 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Loading dataset
2026-05-25 11:34:18,658 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Dataset loaded and selected
2026-05-25 11:34:33,581 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Number of selected rules: 2
2026-05-25 11:34:33,666 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Dataloaders created
2026-05-25 11:34:33,669 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Model initialized
2026-05-25 12:10:04,734 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Model saved to runs/eeg_neurosymbolic_lambda_0.3_seed_42/checkpoints/model.pt
2026-05-25 12:10:04,734 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | History saved to runs/eeg_neurosymbolic_lambda_0.3_seed_42/outputs/history.npy
2026-05-25 12:10:04,734 | INFO | eeg_neurosymbolic_lambda_0.3_seed_42 | Run finished successfully
