2026-05-26 13:25:18,853 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | ================================================================================
2026-05-26 13:25:18,853 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Starting run: eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42
2026-05-26 13:25:18,853 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Split strategy: mtdnet
2026-05-26 13:25:18,853 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Lambda logic: 0.2500
2026-05-26 13:25:18,853 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | ================================================================================
2026-05-26 13:25:18,854 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Random seed fixed to 42
2026-05-26 13:25:18,854 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Using device: cpu
2026-05-26 13:25:18,855 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Loading dataset
2026-05-26 13:25:23,031 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Dataset loaded and selected
2026-05-26 13:25:23,031 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Decision tree initialized
2026-05-26 13:25:23,246 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Dataloaders created
2026-05-26 13:25:23,246 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Number of selected rules: 2
2026-05-26 13:25:23,250 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Model initialized
2026-05-26 14:01:00,215 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Model saved to runs/eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42/checkpoints/model.pt
2026-05-26 14:01:00,216 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | History saved to runs/eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42/outputs/history.npy
2026-05-26 14:01:00,216 | INFO | eeg_neurosymbolic_split_mtdnet_lambda_0.25_seed_42 | Run finished successfully
