2026-06-02 23:47:33,404 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | ================================================================================
2026-06-02 23:47:33,404 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Starting run: eeg_neurosymbolic_split_random_lambda_0.25_seed_42
2026-06-02 23:47:33,405 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Split strategy: random
2026-06-02 23:47:33,405 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Lambda logic: 0.2500
2026-06-02 23:47:33,405 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Seed: 42
2026-06-02 23:47:33,405 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | ================================================================================
2026-06-02 23:47:33,406 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Random seed fixed to 42
2026-06-02 23:47:33,406 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Using device: cpu
2026-06-02 23:47:33,406 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Loading dataset
2026-06-02 23:47:39,810 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Dataset loaded and selected
2026-06-02 23:47:39,810 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Decision tree initialized
2026-06-02 23:47:40,021 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Dataloaders created
2026-06-02 23:47:40,021 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Number of selected rules: 2
2026-06-02 23:47:40,024 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Model initialized
2026-06-03 00:42:27,875 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.25_seed_42/checkpoints/model.pt
2026-06-03 00:42:27,876 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.25_seed_42/outputs/history.npy
2026-06-03 00:42:27,876 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Test metrics: {'test_total_loss': 11.118583410667876, 'test_balanced_accuracy': 0.8214402085369827, 'test_f1_score': 0.8089887640449439}
2026-06-03 00:42:27,876 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_42 | Run finished successfully
