lambda_logic,lr,pretrained_model_path,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss,weight_decay
0.0,0.0001,pretrained_models/model_42.pt,42,0.9239165852069078,0.9246231155778895,0.6712346516433172,0.3940181808235745,1e-05
0.0,0.0001,pretrained_models/model_43.pt,43,0.7090146750524109,0.6744186046511628,0.9019157207012176,0.5732257705926895,1e-05
0.0,0.0001,pretrained_models/model_44.pt,44,0.6484521575984991,0.8698412698412697,0.7014179453253746,0.6286307175954183,1e-05
0.0,0.0001,pretrained_models/model_45.pt,45,0.8244186046511628,0.8363636363636364,0.625695766021426,0.5774271602814014,1e-05
0.0,0.0001,pretrained_models/model_46.pt,46,0.5317757009345794,0.6283185840707963,0.5146777927875519,1.0824411511421204,1e-05
0.1,0.0001,pretrained_models/model_42.pt,42,0.9239165852069078,0.9246231155778895,0.6835546217916999,0.42165769326190156,1e-05
0.1,0.0001,pretrained_models/model_43.pt,43,0.7265199161425577,0.7005649717514124,0.9341422307491303,0.6113864183425903,1e-05
0.1,0.0001,pretrained_models/model_44.pt,44,0.6515009380863039,0.8734177215189874,0.712207518517971,0.6453263126313686,1e-05
0.1,0.0001,pretrained_models/model_45.pt,45,0.8287664307381193,0.8416289592760181,0.6329964665839305,0.5808714232765712,1e-05
0.1,0.0001,pretrained_models/model_46.pt,46,0.5255257009345794,0.6255506607929515,0.5174813605844975,1.0291875042021275,1e-05
0.2,0.0001,pretrained_models/model_42.pt,42,0.9131638970348648,0.9137055837563453,0.6993346694507636,0.453563304618001,1e-05
0.2,0.0001,pretrained_models/model_43.pt,43,0.740146750524109,0.7243243243243243,0.9703873312473297,0.654882755279541,1e-05
0.2,0.0001,pretrained_models/model_44.pt,44,0.6484521575984991,0.8698412698412697,0.7258539870381355,0.6641120438774427,1e-05
0.2,0.0001,pretrained_models/model_45.pt,45,0.8374620829120323,0.852017937219731,0.6420210028210511,0.5853306324436114,1e-05
0.2,0.0001,pretrained_models/model_46.pt,46,0.5130257009345794,0.6200873362445416,0.522278506308794,0.9715169028689464,1e-05
0.3,0.0001,pretrained_models/model_42.pt,42,0.9024112088628218,0.9025641025641027,0.7197329965129029,0.491153401012222,1e-05
