lambda_logic,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_f1_score_mean,test_f1_score_std
0.0,0.734837,0.140688,0.789240,0.126797
0.1,0.734338,0.162683,0.796444,0.111729
0.2,0.749870,0.156137,0.815657,0.112362
0.3,0.741209,0.153013,0.812844,0.114292
0.4,0.744602,0.142164,0.814912,0.108739
0.5,0.693718,0.157352,0.779072,0.110234
0.6,0.724555,0.121226,0.795340,0.108866
0.7,0.701708,0.126248,0.783478,0.107172
0.8,0.696432,0.130724,0.768784,0.109971
0.9,0.707670,0.152156,0.758940,0.111098
1.0,0.686629,0.131315,0.737806,0.102799
