lambda_logic,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_f1_score_mean,test_f1_score_std
0.0,0.727516,0.152374,0.786713,0.128543
0.1,0.731246,0.154382,0.793157,0.125240
0.2,0.730450,0.157263,0.795995,0.120963
0.3,0.731774,0.151787,0.798078,0.115806
0.4,0.735339,0.151333,0.803871,0.111554
0.5,0.735819,0.149162,0.805030,0.111241
0.6,0.733570,0.147175,0.805141,0.109971
0.7,0.729631,0.139121,0.801969,0.106916
0.8,0.725496,0.133590,0.798976,0.105237
0.9,0.727812,0.111480,0.797444,0.094046
1.0,0.721247,0.107809,0.788543,0.096499
