2026-07-27 15:02:11,546 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | ================================================================================
2026-07-27 15:02:11,547 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Starting run: eeg_neurosymbolic_split_random_lambda_0.2_seed_45
2026-07-27 15:02:11,547 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Split strategy: random
2026-07-27 15:02:11,547 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Lambda logic: 0.2000
2026-07-27 15:02:11,547 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Seed: 45
2026-07-27 15:02:11,547 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | ================================================================================
2026-07-27 15:02:11,548 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Random seed fixed to 45
2026-07-27 15:02:11,548 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Using device: cpu
2026-07-27 15:02:11,548 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Loading dataset
2026-07-27 15:02:13,312 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Dataset loaded and selected
2026-07-27 15:02:13,312 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Decision tree initialized
2026-07-27 15:02:13,362 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Dataloaders created
2026-07-27 15:02:13,362 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Number of selected rules: 2
2026-07-27 15:02:13,363 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Model initialized
2026-07-27 15:21:11,717 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_45/checkpoints/model.pt
2026-07-27 15:21:11,717 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_45/outputs/history.npy
2026-07-27 15:21:11,717 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Test metrics: {'test_total_loss': 0.9090913327840658, 'test_normalized_logic_loss': 0.5482423431598223, 'test_balanced_accuracy': 0.7075471698113207, 'test_f1_score': 0.7633587786259541}
2026-07-27 15:21:11,717 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_45 | Run finished successfully
