lambda_logic,lr,pretrained_model_path,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss,weight_decay
0.0,0.0001,pretrained_models/model_42.pt,42,0.8431372549019608,0.8571428571428571,0.6371772426825303,0.5989154187532572,1e-05
0.0,0.0001,pretrained_models/model_43.pt,43,0.9285714285714286,0.923076923076923,0.5799277194521644,0.4999870683320544,1e-05
0.0,0.0001,pretrained_models/model_44.pt,44,0.8211362542128069,0.746268656716418,0.7070824618522937,0.5893744793362342,1e-05
0.0,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.5221913674703011,1.1284070491360931,1e-05
0.0,0.0001,pretrained_models/model_46.pt,46,0.8595238095238096,0.8661417322834646,0.6257519389574344,0.4328184907252972,1e-05
0.2,0.0001,pretrained_models/model_42.pt,42,0.8333333333333333,0.8495575221238938,0.6467950481634873,0.5849843460779923,1e-05
0.2,0.0001,pretrained_models/model_43.pt,43,0.9285714285714286,0.923076923076923,0.5860381573438644,0.5319616835225712,1e-05
0.2,0.0001,pretrained_models/model_44.pt,44,0.8211362542128069,0.746268656716418,0.7194897945110614,0.6370431540104059,1e-05
0.2,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.5318832913270364,1.0477416756061406,1e-05
0.2,0.0001,pretrained_models/model_46.pt,46,0.8428571428571429,0.859375,0.6308197980889907,0.47309476824907154,1e-05
0.4,0.0001,pretrained_models/model_42.pt,42,0.7941176470588236,0.8205128205128205,0.6318600131915166,0.6616903382998246,1e-05
0.4,0.0001,pretrained_models/model_43.pt,43,0.9081632653061225,0.898876404494382,0.5951158566908403,0.5702612643892114,1e-05
0.4,0.0001,pretrained_models/model_44.pt,44,0.8211362542128069,0.746268656716418,0.7450414575063266,0.6867264807224274,1e-05
0.4,0.0001,pretrained_models/model_45.pt,45,0.6981132075471699,0.7575757575757575,0.5524777242770562,0.9404827505350113,1e-05
0.4,0.0001,pretrained_models/model_46.pt,46,0.8428571428571429,0.859375,0.6408603523786252,0.5223576128482819,1e-05
0.6,0.0001,pretrained_models/model_42.pt,42,0.8333333333333333,0.8495575221238938,0.6685628890991211,0.6201388675432938,1e-05
0.6,0.0001,pretrained_models/model_43.pt,43,0.9081632653061225,0.898876404494382,0.6200953816825693,0.6026951616460626,1e-05
0.6,0.0001,pretrained_models/model_44.pt,44,0.7987481945113144,0.7142857142857142,0.7846382672970111,0.743438931611868,1e-05
0.6,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.5955073054020221,0.8492165597585531,1e-05
0.6,0.0001,pretrained_models/model_46.pt,46,0.8261904761904761,0.8527131782945736,0.6584627135441854,0.5804556906223297,1e-05
0.8,0.0001,pretrained_models/model_42.pt,42,0.852328431372549,0.8623853211009173,0.729251334300408,0.7054961461287278,1e-05
0.8,0.0001,pretrained_models/model_43.pt,43,0.9081632653061225,0.898876404494382,0.6892213198271665,0.6745601215145804,1e-05
0.8,0.0001,pretrained_models/model_44.pt,44,0.7999518536350505,0.7123287671232876,0.886348926104032,0.8531281306193426,1e-05
0.8,0.0001,pretrained_models/model_45.pt,45,0.7075471698113207,0.7633587786259541,0.6980873208779556,0.7995056509971619,1e-05
0.8,0.0001,pretrained_models/model_46.pt,46,0.8333333333333334,0.8615384615384616,0.7088355513719412,0.6628053176861542,1e-05
1.0,0.0001,pretrained_models/model_42.pt,42,0.8431372549019608,0.8571428571428571,0.7673054612599887,0.7673054612599887,1e-05
1.0,0.0001,pretrained_models/model_43.pt,43,0.9081632653061225,0.898876404494382,0.8447616791183298,0.8447616791183298,1e-05
1.0,0.0001,pretrained_models/model_44.pt,44,0.783822821376986,0.6944444444444445,1.1394140261870165,1.1394140261870165,1e-05
1.0,0.0001,pretrained_models/model_45.pt,45,0.6886792452830188,0.7518796992481204,0.8835919614021595,0.8835919614021595,1e-05
1.0,0.0001,pretrained_models/model_46.pt,46,0.7761904761904761,0.8732394366197184,0.8258702525725732,0.8258702525725732,1e-05
