lambda_logic,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss
0.0,42,0.5,0.653061224489796,0.6856817465562087,0.6910523061568921
0.0,43,0.8979591836734694,0.8863636363636364,0.5866165093400262,0.5316395276988094
0.0,44,0.7862301396244584,0.6923076923076925,0.6859492017672613,0.6016934158710333
0.0,45,0.6886792452830188,0.7518796992481204,0.5307808071374893,1.0943256095051765
0.0,46,0.8761904761904762,0.873015873015873,0.6443957164883614,0.45360750418442947
0.2,42,0.5845588235294118,0.6666666666666667,0.6999459633460412,0.7281569219552554
0.2,43,0.9081632653061225,0.898876404494382,0.5968806147575378,0.5551302460106936
0.2,44,0.7799711121810303,0.6829268292682927,0.684047866326112,0.6739160280961257
0.2,45,0.6792452830188679,0.7462686567164178,0.5523206373819938,0.9984677812227836
0.2,46,0.8761904761904762,0.873015873015873,0.6525131830802331,0.49364305574160355
0.4,42,0.892156862745098,0.897196261682243,0.7132143469957205,0.6010597737935873
0.4,43,0.9285714285714286,0.923076923076923,0.6197020641782067,0.5519768622788516
0.4,44,0.7701011073663939,0.6753246753246753,0.7455332508453956,0.7226190154369061
0.4,45,0.6886792452830188,0.7518796992481204,0.5731762395455287,1.003108398272441
0.4,46,0.8595238095238096,0.8661417322834646,0.6699317647860601,0.5310077288976083
0.6,42,0.9019607843137255,0.9056603773584906,0.8128356131223532,0.6728496643213125
0.6,43,0.9285714285714286,0.923076923076923,0.6879805678671057,0.6169534433971752
0.6,44,0.8136735676456428,0.7352941176470588,0.8824063768753638,0.8367605759547307
0.6,45,0.6698113207547169,0.7407407407407407,0.6630063951015472,0.9800643301927127
0.6,46,0.9,0.888888888888889,0.7173621505498886,0.6084300451553785
0.8,42,0.9411764705882353,0.9411764705882353,1.195981617157276,1.0212102647011096
0.8,43,0.9183673469387755,0.9111111111111111,0.854994729838588,0.8244881386106665
0.8,44,0.7924891670678864,0.7027027027027026,1.1263398573948786,1.0775938079907343
0.8,45,0.6698113207547169,0.7407407407407407,0.9750467194960668,1.1300594348173876
0.8,46,0.8500000000000001,0.8682170542635659,0.876815982736074,0.8143142587863482
1.0,42,0.892156862745098,0.897196261682243,3.019368217541621,3.019368217541621
1.0,43,0.9285714285714286,0.923076923076923,2.402139498428865,2.402139498428865
1.0,44,0.7912855079441502,0.7042253521126761,2.952740109883822,2.952740109883822
1.0,45,0.6415094339622641,0.7246376811594203,2.7561354637145996,2.7561354637145996
1.0,46,0.7333333333333334,0.823529411764706,1.8624337590657747,1.8624337590657747
