2026-07-25 23:38:06,810 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | ================================================================================
2026-07-25 23:38:06,810 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Starting run: eeg_neurosymbolic_split_random_lambda_0.6_seed_45
2026-07-25 23:38:06,811 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Split strategy: random
2026-07-25 23:38:06,811 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Lambda logic: 0.6000
2026-07-25 23:38:06,811 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Seed: 45
2026-07-25 23:38:06,811 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | ================================================================================
2026-07-25 23:38:06,813 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Random seed fixed to 45
2026-07-25 23:38:06,813 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Using device: cpu
2026-07-25 23:38:06,813 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Loading dataset
2026-07-25 23:38:09,146 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Dataset loaded and selected
2026-07-25 23:38:09,147 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Decision tree initialized
2026-07-25 23:38:09,232 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Dataloaders created
2026-07-25 23:38:09,232 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Number of selected rules: 2
2026-07-25 23:38:09,234 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Model initialized
2026-07-26 00:02:11,262 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.6_seed_45/checkpoints/model.pt
2026-07-26 00:02:11,263 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.6_seed_45/outputs/history.npy
2026-07-26 00:02:11,263 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Test metrics: {'test_total_loss': 0.9800643301927127, 'test_normalized_logic_loss': 0.6630063951015472, 'test_balanced_accuracy': 0.6698113207547169, 'test_f1_score': 0.7407407407407407}
2026-07-26 00:02:11,263 | INFO | eeg_neurosymbolic_split_random_lambda_0.6_seed_45 | Run finished successfully
