lambda_logic,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss
0.0,42,0.934017595307918,0.9340101522842639,0.6803224761776315,0.35381270789851743
0.0,43,0.6887840670859539,0.6702702702702703,0.8522110652923583,0.5561680638790131
0.0,44,0.6707317073170731,0.8761904761904761,0.7247124910354614,0.6177751546104749
0.0,45,0.8113751263902932,0.8202764976958524,0.6330491368873761,0.5671336702429332
0.0,46,0.5692757009345795,0.6454545454545455,0.5541434263189634,1.0626944527029991
0.2,42,0.9292929292929293,0.9299999999999999,0.7295752239685195,0.43934345959375304
0.2,43,0.809329140461216,0.8078817733990147,0.8845026457309723,0.6080796933174133
0.2,44,0.6454033771106942,0.8662420382165605,0.7514097616076469,0.6206929609179497
0.2,45,0.8273003033367038,0.8430493273542601,0.6641172850504518,0.5748870389965864
0.2,46,0.5380257009345795,0.6311111111111111,0.570722176382939,0.9676806467274824
0.4,42,0.9024112088628218,0.9025641025641027,0.8055845622050887,0.5400737434004744
0.4,43,0.7766247379454927,0.7892376681614349,1.0643869185447692,0.8107193553447724
0.4,44,0.6667448405253283,0.8909657320872274,0.8097797061006228,0.7317285450796286
0.4,45,0.8345298281092013,0.8546255506607929,0.7092683654851638,0.6200315608428075
0.4,46,0.5426985981308411,0.6371681415929203,0.5960915957887968,0.8306558566788832
0.6,42,0.8432714239165853,0.8369565217391305,0.9739822051099812,0.7553712135801712
0.6,43,0.6933962264150944,0.7346938775510204,1.4387940156459809,1.1888969427347182
0.6,44,0.6981707317073171,0.9074074074074074,0.9555733154217402,0.8244345858693123
0.6,45,0.8374115267947422,0.8608695652173913,0.8203453948148168,0.7083242214643038
0.6,46,0.5505257009345794,0.6367713004484304,0.6806053593754768,0.82543017466863
0.8,42,0.8163897034864777,0.8044692737430169,1.3869942757107008,1.2450344781779374
0.8,43,0.5,0.6293706293706294,1.5370475578308105,1.6231345230340957
0.8,44,0.7476547842401501,0.887459807073955,1.3460997889439266,1.2449322392543156
0.8,45,0.787917087967644,0.8433734939759036,1.1611786898798668,1.074941142820395
0.8,46,0.6301985981308411,0.679245283018868,0.8772302071253458,0.9273244415720304
0.9,42,0.8100358422939068,0.7906976744186047,1.8967828781654437,1.7952718433225527
0.9,43,0.5,0.6293706293706294,1.9125797873735428,1.9654008728265762
0.9,44,0.8862570356472796,0.8926174496644297,1.779838631550471,1.702883278330167
0.9,45,0.7180485338725986,0.8218181818181819,1.651338635585629,1.5866501167989695
0.9,46,0.6240070093457943,0.6601941747572815,1.3535950382550557,1.3472730418046315
1.0,42,0.7935809710003259,0.7664670658682636,3.8234707180721066,3.8234707180721066
1.0,43,0.5,0.6293706293706294,2.9796314048580825,2.9796314048580825
1.0,44,0.8295028142589118,0.8639455782312925,3.6843676567077637,3.6843676567077637
1.0,45,0.6671890798786653,0.7943262411347517,3.5944149213341565,3.5944149213341565
1.0,46,0.6428738317757009,0.634920634920635,3.3420061245560646,3.3420061245560646
