2026-07-01 21:01:56,459 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | ================================================================================
2026-07-01 21:01:56,459 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Starting run: eeg_neurosymbolic_split_random_lambda_0.2_seed_44
2026-07-01 21:01:56,459 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Split strategy: random
2026-07-01 21:01:56,459 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Lambda logic: 0.2000
2026-07-01 21:01:56,459 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Seed: 44
2026-07-01 21:01:56,460 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | ================================================================================
2026-07-01 21:01:56,461 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Random seed fixed to 44
2026-07-01 21:01:56,461 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Using device: cpu
2026-07-01 21:01:56,461 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Loading dataset
2026-07-01 21:02:02,521 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Dataset loaded and selected
2026-07-01 21:02:02,522 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Decision tree initialized
2026-07-01 21:02:02,692 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Dataloaders created
2026-07-01 21:02:02,693 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Number of selected rules: 2
2026-07-01 21:02:02,696 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Model initialized
2026-07-01 22:06:10,209 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_44/checkpoints/model.pt
2026-07-01 22:06:10,209 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_44/outputs/history.npy
2026-07-01 22:06:10,209 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Test metrics: {'test_total_loss': 0.6206929609179497, 'test_normalized_logic_loss': 0.7514097616076469, 'test_balanced_accuracy': 0.6454033771106942, 'test_f1_score': 0.8662420382165605}
2026-07-01 22:06:10,209 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_44 | Run finished successfully
