lambda_logic,lr,pretrained_model_path,seed,test_balanced_accuracy,test_f1_score,test_normalized_logic_loss,test_total_loss,weight_decay
0.0,0.0001,pretrained_models/model_42.pt,42,0.9071358748778103,0.90625,0.661658039316535,0.364147846121341,1e-05
0.0,0.0001,pretrained_models/model_43.pt,43,0.7218029350104822,0.6966292134831461,0.8775947284698487,0.57818976521492,1e-05
0.0,0.0001,pretrained_models/model_44.pt,44,0.6423545966228893,0.8626198083067093,0.7144921446839968,0.6069102883338928,1e-05
0.0,0.0001,pretrained_models/model_45.pt,45,0.8084934277047522,0.8130841121495327,0.7170863564197834,0.5742587441435227,1e-05
0.0,0.0001,pretrained_models/model_46.pt,46,0.5442757009345794,0.6339285714285714,0.483430448379598,1.0560802730421226,1e-05
0.2,0.0001,pretrained_models/model_42.pt,42,0.9020853698273053,0.9015544041450777,0.6834145554651817,0.4312642167011897,1e-05
0.2,0.0001,pretrained_models/model_43.pt,43,0.7068134171907756,0.6815642458100559,0.9226187467575073,0.6635654556751251,1e-05
0.2,0.0001,pretrained_models/model_44.pt,44,0.6484521575984991,0.8698412698412697,0.7450220262010893,0.6247179843485355,1e-05
0.2,0.0001,pretrained_models/model_45.pt,45,0.8215369059656219,0.8294930875576038,0.751349864097742,0.5982880643927134,1e-05
0.2,0.0001,pretrained_models/model_46.pt,46,0.5380257009345795,0.6311111111111111,0.49053050776259016,0.9532380482802788,1e-05
0.4,0.0001,pretrained_models/model_42.pt,42,0.9024112088628218,0.9025641025641027,0.7264764253050089,0.5212534299741188,1e-05
0.4,0.0001,pretrained_models/model_43.pt,43,0.7020964360587002,0.6777777777777778,0.9937027287483216,0.7701770842075348,1e-05
0.4,0.0001,pretrained_models/model_44.pt,44,0.6798780487804879,0.8867924528301887,0.7952197616298994,0.6687231759230295,1e-05
0.4,0.0001,pretrained_models/model_45.pt,45,0.8258847320525784,0.834862385321101,0.8119198840398055,0.6525064809964254,1e-05
0.4,0.0001,pretrained_models/model_46.pt,46,0.5380257009345795,0.6311111111111111,0.5046105872556836,0.8665916497508684,1e-05
0.6,0.0001,pretrained_models/model_42.pt,42,0.8970348647768003,0.8969072164948454,0.820129648471872,0.6660103108733892,1e-05
0.6,0.0001,pretrained_models/model_43.pt,43,0.7076519916142557,0.6850828729281768,1.1017415165901183,0.9245696520805359,1e-05
0.6,0.0001,pretrained_models/model_44.pt,44,0.6859756097560976,0.8937499999999999,0.8835462679465612,0.7647537738084793,1e-05
0.6,0.0001,pretrained_models/model_45.pt,45,0.8476238624873609,0.8609865470852016,0.9060011437306037,0.7584380438694587,1e-05
0.6,0.0001,pretrained_models/model_46.pt,46,0.5380257009345795,0.6311111111111111,0.5316042971321622,0.7839391641318798,1e-05
0.8,0.0001,pretrained_models/model_42.pt,42,0.8809058325187358,0.8795811518324608,1.0285290634880464,0.9279084106286367,1e-05
0.8,0.0001,pretrained_models/model_43.pt,43,0.7076519916142557,0.6850828729281768,1.2636746311187743,1.1510940718650817,1e-05
0.8,0.0001,pretrained_models/model_44.pt,44,0.6890243902439024,0.897196261682243,1.0391044740875561,0.9574634755651156,1e-05
0.8,0.0001,pretrained_models/model_45.pt,45,0.8418099089989888,0.857142857142857,1.0758921710344462,0.9670592890335963,1e-05
0.8,0.0001,pretrained_models/model_46.pt,46,0.5630257009345794,0.6425339366515838,0.6043613160751798,0.737896163482219,1e-05
1.0,0.0001,pretrained_models/model_42.pt,42,0.8600521342456826,0.8586387434554974,1.3738773862520854,1.3738773862520854,1e-05
1.0,0.0001,pretrained_models/model_43.pt,43,0.7234800838574423,0.7032967032967032,1.483779091835022,1.483779091835022,1e-05
1.0,0.0001,pretrained_models/model_44.pt,44,0.6920731707317074,0.9006211180124223,1.2641172061363857,1.2641172061363857,1e-05
1.0,0.0001,pretrained_models/model_45.pt,45,0.8519716885743175,0.8660714285714286,1.3376876780619988,1.3376876780619988,1e-05
1.0,0.0001,pretrained_models/model_46.pt,46,0.6317757009345795,0.6761904761904761,0.9235648514507678,0.9235648514507678,1e-05
