2026-07-11 16:58:42,643 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | ================================================================================
2026-07-11 16:58:42,643 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Starting run: eeg_neurosymbolic_split_random_lambda_0.2_seed_42
2026-07-11 16:58:42,643 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Split strategy: random
2026-07-11 16:58:42,643 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Lambda logic: 0.2000
2026-07-11 16:58:42,643 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Seed: 42
2026-07-11 16:58:42,643 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | ================================================================================
2026-07-11 16:58:42,645 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Random seed fixed to 42
2026-07-11 16:58:42,645 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Using device: cpu
2026-07-11 16:58:42,645 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Loading dataset
2026-07-11 16:58:46,632 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Dataset loaded and selected
2026-07-11 16:58:46,632 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Decision tree initialized
2026-07-11 16:58:46,763 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Dataloaders created
2026-07-11 16:58:46,763 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Number of selected rules: 2
2026-07-11 16:58:46,764 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Model initialized
2026-07-11 17:37:58,369 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_42/checkpoints/model.pt
2026-07-11 17:37:58,369 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.2_seed_42/outputs/history.npy
2026-07-11 17:37:58,369 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Test metrics: {'test_total_loss': 0.46726916419963044, 'test_normalized_logic_loss': 0.7303202586869398, 'test_balanced_accuracy': 0.9024112088628218, 'test_f1_score': 0.9025641025641027}
2026-07-11 17:37:58,369 | INFO | eeg_neurosymbolic_split_random_lambda_0.2_seed_42 | Run finished successfully
