run,lambda,lr,wd,seed,test_total_loss,test_normalized_logic_loss,test_balanced_accuracy,test_f1_score
eeg_neurosymbolic_finetune_split_random_lambda_0.6_lr_0.0001_wd_1e-05_seed_42,0.6,1.00e-04,1.00e-05,42,0.673041838221252,0.8445374479051679,0.8916585206907788,0.8911917098445595
eeg_neurosymbolic_finetune_split_random_lambda_0.6_lr_0.0001_wd_1e-05_seed_43,0.6,1.00e-04,1.00e-05,43,0.9850285172462463,1.2313258743286133,0.7749475890985325,0.7853881278538813
eeg_neurosymbolic_finetune_split_random_lambda_0.6_lr_0.0001_wd_1e-05_seed_44,0.6,1.00e-04,1.00e-05,44,0.7912007744113604,0.8364910135666529,0.6575984990619137,0.880503144654088
eeg_neurosymbolic_finetune_split_random_lambda_0.6_lr_0.0001_wd_1e-05_seed_45,0.6,1.00e-04,1.00e-05,45,0.6590231731534004,0.7276487930749471,0.8243680485338726,0.8458149779735682
eeg_neurosymbolic_finetune_split_random_lambda_0.6_lr_0.0001_wd_1e-05_seed_46,0.6,1.00e-04,1.00e-05,46,0.777481327454249,0.5631448725859324,0.5192757009345794,0.6228070175438597
eeg_neurosymbolic_finetune_split_random_lambda_0.7_lr_0.0001_wd_1e-05_seed_42,0.7,1.00e-04,1.00e-05,42,0.7867495254613459,0.9349277285121692,0.8809058325187358,0.8795811518324608
eeg_neurosymbolic_finetune_split_random_lambda_0.7_lr_0.0001_wd_1e-05_seed_43,0.7,1.00e-04,1.00e-05,43,1.1203180599212645,1.3202418744564057,0.74916142557652,0.7705627705627707
eeg_neurosymbolic_finetune_split_random_lambda_0.7_lr_0.0001_wd_1e-05_seed_44,0.7,1.00e-04,1.00e-05,44,0.8532568514347076,0.8928312162558237,0.6575984990619137,0.880503144654088
eeg_neurosymbolic_finetune_split_random_lambda_0.7_lr_0.0001_wd_1e-05_seed_45,0.7,1.00e-04,1.00e-05,45,0.7067585186316416,0.7720877982389468,0.8287158746208292,0.8508771929824561
eeg_neurosymbolic_finetune_split_random_lambda_0.7_lr_0.0001_wd_1e-05_seed_46,0.7,1.00e-04,1.00e-05,46,0.7439057131608328,0.5891633952657381,0.5317757009345794,0.6283185840707963
eeg_neurosymbolic_finetune_split_random_lambda_0.8_lr_0.0001_wd_1e-05_seed_42,0.8,1.00e-04,1.00e-05,42,0.929125185435017,1.0420780417043716,0.8647768002606713,0.8617021276595744
eeg_neurosymbolic_finetune_split_random_lambda_0.8_lr_0.0001_wd_1e-05_seed_43,0.8,1.00e-04,1.00e-05,43,1.258244605064392,1.3963361394405365,0.7311320754716981,0.759493670886076
eeg_neurosymbolic_finetune_split_random_lambda_0.8_lr_0.0001_wd_1e-05_seed_44,0.8,1.00e-04,1.00e-05,44,0.9384820262591044,0.9698884611328443,0.6575984990619137,0.880503144654088
eeg_neurosymbolic_finetune_split_random_lambda_0.8_lr_0.0001_wd_1e-05_seed_45,0.8,1.00e-04,1.00e-05,45,0.7931820761698943,0.8502573527825567,0.8359453993933266,0.8620689655172413
eeg_neurosymbolic_finetune_split_random_lambda_0.8_lr_0.0001_wd_1e-05_seed_46,0.8,1.00e-04,1.00e-05,46,0.7288813690344492,0.6340674621363481,0.5380257009345795,0.6311111111111111
