2026-06-03 01:36:58,684 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | ================================================================================
2026-06-03 01:36:58,684 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Starting run: eeg_neurosymbolic_split_random_lambda_0.25_seed_44
2026-06-03 01:36:58,684 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Split strategy: random
2026-06-03 01:36:58,684 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Lambda logic: 0.2500
2026-06-03 01:36:58,684 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Seed: 44
2026-06-03 01:36:58,684 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | ================================================================================
2026-06-03 01:36:58,686 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Random seed fixed to 44
2026-06-03 01:36:58,686 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Using device: cpu
2026-06-03 01:36:58,686 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Loading dataset
2026-06-03 01:37:04,931 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Dataset loaded and selected
2026-06-03 01:37:04,931 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Decision tree initialized
2026-06-03 01:37:05,113 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Dataloaders created
2026-06-03 01:37:05,113 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Number of selected rules: 2
2026-06-03 01:37:05,117 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Model initialized
2026-06-03 02:30:57,671 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Model saved to runs/eeg_neurosymbolic_split_random_lambda_0.25_seed_44/checkpoints/model.pt
2026-06-03 02:30:57,671 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | History saved to runs/eeg_neurosymbolic_split_random_lambda_0.25_seed_44/outputs/history.npy
2026-06-03 02:30:57,672 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Test metrics: {'test_total_loss': 11.315015534559885, 'test_balanced_accuracy': 0.6104596622889306, 'test_f1_score': 0.6992481203007518}
2026-06-03 02:30:57,672 | INFO | eeg_neurosymbolic_split_random_lambda_0.25_seed_44 | Run finished successfully
