2026-05-25 13:35:17,318 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | ================================================================================
2026-05-25 13:35:17,318 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Starting run: eeg_neurosymbolic_lambda_0.5_seed_42
2026-05-25 13:35:17,318 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Lambda logic: 0.5000
2026-05-25 13:35:17,319 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | ================================================================================
2026-05-25 13:35:17,320 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Random seed fixed to 42
2026-05-25 13:35:17,320 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Using device: cpu
2026-05-25 13:35:17,320 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Loading dataset
2026-05-25 13:35:21,491 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Dataset loaded and selected
2026-05-25 13:35:36,459 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Number of selected rules: 2
2026-05-25 13:35:36,545 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Dataloaders created
2026-05-25 13:35:36,549 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Model initialized
2026-05-25 14:11:02,991 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Model saved to runs/eeg_neurosymbolic_lambda_0.5_seed_42/checkpoints/model.pt
2026-05-25 14:11:02,991 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | History saved to runs/eeg_neurosymbolic_lambda_0.5_seed_42/outputs/history.npy
2026-05-25 14:11:02,991 | INFO | eeg_neurosymbolic_lambda_0.5_seed_42 | Run finished successfully
